epoch,conf_accuracy,conf_loss,loc_accuracy,loc_loss,loss,lr,val_conf_accuracy,val_conf_loss,val_loc_accuracy,val_loc_loss,val_loss
26,0.997965932,0.270477951,0.248431042,0.261619985,0.532098234,0.001,0.991802216,6.326311111,0.155330479,1.246849895,7.573160648
27,0.998117983,0.237798199,0.231935918,0.24390924,0.481707543,0.001,0.992472529,4.884653568,0.201576948,1.045193791,5.929846287
28,0.998130679,0.234056875,0.226950616,0.243890107,0.477946877,0.001,0.991764784,7.561432362,0.210246041,1.828196406,9.389627457
29,0.99820739,0.220066056,0.240116909,0.235080659,0.455146641,0.001,0.992115438,5.936389446,0.197713897,1.168601155,7.104990959
30,0.99824518,0.211153358,0.235031217,0.232404187,0.443557292,0.001,0.992107093,5.799942493,0.215816945,1.07957828,6.879520893
31,0.998372197,0.183811277,0.235164642,0.216726616,0.40053758,0.001,0.992747724,4.775841236,0.199977294,1.048470736,5.824311733
32,0.998447299,0.171011239,0.24693802,0.20965369,0.380664915,0.001,0.99258095,5.269648552,0.245468736,1.227928877,6.49757719
33,0.998255789,0.217500791,0.242307723,0.234245777,0.451746255,0.001,0.992367983,5.166417599,0.209714025,1.08906281,6.255479813
34,0.998358727,0.189741865,0.224806353,0.222097173,0.411839366,0.001,0.993346035,4.044552326,0.216826648,0.998803318,5.043354988
35,0.998356819,0.191375688,0.24046877,0.22237581,0.413751662,0.001,0.993080914,3.984754801,0.283374995,0.877806664,4.862561226
36,0.998454273,0.170235053,0.239643306,0.212027386,0.382262498,0.001,0.993644536,3.233318806,0.238267586,0.746934056,3.980252266
37,0.998452306,0.175358176,0.237565517,0.21367085,0.389028966,0.001,0.993343055,3.679708242,0.25933966,0.89571172,4.575419426
38,0.998414934,0.184559882,0.233664751,0.218868807,0.403428584,0.001,0.993954182,3.00447464,0.222805545,0.81580019,3.82027483
39,0.998569071,0.148232341,0.246553525,0.197568044,0.345800251,0.001,0.993909299,3.016023159,0.237975925,0.791262031,3.807285547
40,0.998655319,0.129367009,0.231826738,0.185488969,0.314856082,0.001,0.994057655,3.083105564,0.229785591,0.757593811,3.840698957
41,0.998632312,0.135671884,0.239626825,0.187018663,0.322690547,0.001,0.99370867,3.520009756,0.254068315,0.802023768,4.322034359
42,0.998493671,0.168816492,0.235749781,0.206717968,0.375534624,0.001,0.993359089,4.008934021,0.237066925,0.877092183,4.886026859
43,0.998528063,0.159066632,0.234278113,0.202141061,0.361207664,0.001,0.993788898,3.386730909,0.255244166,0.768512607,4.155243874
44,0.998713851,0.118104741,0.254655927,0.17953448,0.29763934,0.001,0.99412632,3.050755501,0.239077359,0.698398411,3.749154091
45,0.998581886,0.156950891,0.240869865,0.197130799,0.354081631,0.001,0.993105292,4.232933044,0.298103809,0.860991716,5.093924046
46,0.998487473,0.173534036,0.228694007,0.210957274,0.384491354,0.001,0.994022369,2.966139555,0.192003146,0.786095917,3.752234936
